Wavelength Flux
5504.5576171875 53404.27381896973
5505.8076171875 53738.007904052734
5507.0576171875 53859.699279785156
5508.3076171875 54158.58967590332
5509.5576171875 54199.57359313965
5510.8076171875 53738.342834472656
5512.0576171875 53448.844146728516
5513.3076171875 53010.46562194824
5514.5576171875 52068.2760925293
5515.8076171875 50691.606185913086
5517.0576171875 51397.04328918457
5518.3076171875 52337.8895111084
5519.5576171875 52297.15771484375
5520.8076171875 52140.22946166992
5522.0576171875 52834.05830383301
5523.3076171875 53720.09915161133
5524.5576171875 54457.32215881348
5525.8076171875 53961.590744018555
5527.0576171875 53284.06280517578
5528.3076171875 52920.26318359375
5529.5576171875 53647.6016998291
5530.8076171875 54133.401138305664
5532.0576171875 54206.83750915527
5533.3076171875 53722.74433898926
5534.5576171875 53775.81246948242
5535.8076171875 53526.0866394043
5537.0576171875 53370.74424743652
5538.3076171875 54110.40840148926
5539.5576171875 54233.2912902832
5540.8076171875 53937.37628173828
5542.0576171875 53660.084564208984
5543.3076171875 53396.57817077637
5544.5576171875 53022.809341430664
5545.8076171875 52596.53810119629
5547.0576171875 52626.93795776367
5548.3076171875 53219.751541137695
5549.5576171875 53527.147232055664
5550.8076171875 53009.94073486328
5552.0576171875 52615.24467468262
5553.3076171875 52961.86479187012
5554.5576171875 53328.793533325195
5555.8076171875 54184.363845825195
5557.0576171875 54906.36698913574
5558.3076171875 55602.857360839844
5559.5576171875 56105.197189331055
5560.8076171875 55945.36860656738
5562.0576171875 55904.25746154785
5563.3076171875 55357.04145812988
5564.5576171875 55259.85484313965
5565.8076171875 53726.61624145508
5567.0576171875 52862.980712890625
5568.3076171875 52544.561584472656
5569.5576171875 53005.82872009277
5570.8076171875 54412.101318359375
5572.0576171875 54720.62112426758
5573.3076171875 54030.58744812012
5574.5576171875 51643.923751831055
5575.8076171875 57245.42674255371
5577.0576171875 57961.13751220703
5578.3076171875 50986.0676574707
5579.5576171875 54656.72537231445
5580.8076171875 55449.80610656738
5582.0576171875 55948.5993347168
5583.3076171875 55011.18614196777
5584.5576171875 55092.424072265625
5585.8076171875 54656.53871154785
5587.0576171875 55483.68551635742
5588.3076171875 56736.70669555664
5589.5576171875 56987.9676361084
5590.8076171875 57383.36065673828
5592.0576171875 57181.685150146484
5593.3076171875 55972.94885253906
5594.5576171875 55831.72106933594
5595.8076171875 56561.28251647949
5597.0576171875 56307.97409057617
5598.3076171875 56052.41418457031
5599.5576171875 56401.01672363281
5600.8076171875 55984.96115112305
5602.0576171875 55628.25453186035
5603.3076171875 55322.806884765625
5604.5576171875 55447.43452453613
5605.8076171875 55119.77006530762
5607.0576171875 54929.81901550293
5608.3076171875 54821.777740478516
5609.5576171875 55181.31106567383
5610.8076171875 55670.902923583984
5612.0576171875 55600.65899658203
5613.3076171875 55324.40786743164
5614.5576171875 55877.59803771973
5615.8076171875 56584.377838134766
5617.0576171875 56793.60383605957
5618.3076171875 56274.05418395996
5619.5576171875 57065.93273925781
5620.8076171875 57317.34393310547
5622.0576171875 56781.97346496582
5623.3076171875 56549.95487976074
5624.5576171875 56023.08215332031
5625.8076171875 54962.62268066406
5627.0576171875 53740.98110961914
5628.3076171875 52962.6481628418
5629.5576171875 53081.8466796875
5630.8076171875 54189.77589416504
5632.0576171875 54319.348709106445
5633.3076171875 54817.43037414551
5634.5576171875 54958.56539916992
5635.8076171875 55538.86471557617
5637.0576171875 56869.235092163086
5638.3076171875 56287.74533081055
5639.5576171875 55468.68713378906
5640.8076171875 54830.19546508789
5642.0576171875 54408.112731933594
5643.3076171875 54618.39501953125
5644.5576171875 55896.4405670166
5645.8076171875 57530.87705993652
5647.0576171875 58377.559005737305
5648.3076171875 58613.005447387695
5649.5576171875 58566.33122253418
5650.8076171875 58654.87091064453
5652.0576171875 58571.77958679199
5653.3076171875 58393.722412109375
5654.5576171875 57138.33598327637
5655.8076171875 55011.317138671875
5657.0576171875 55199.34678649902
5658.3076171875 55917.39680480957
5659.5576171875 56721.32963562012
5660.8076171875 56971.63627624512
5662.0576171875 57527.25149536133
5663.3076171875 57258.13932800293
5664.5576171875 55978.81219482422
5665.8076171875 55222.48258972168
5667.0576171875 55740.839767456055
5668.3076171875 57248.32293701172
5669.5576171875 57781.857681274414
5670.8076171875 58182.7414855957
5672.0576171875 58250.11799621582
5673.3076171875 58456.992248535156
5674.5576171875 57318.78938293457
5675.8076171875 57492.39013671875
5677.0576171875 56767.972747802734
5678.3076171875 56927.66439819336
5679.5576171875 57116.33940124512
5680.8076171875 56353.15040588379
5682.0576171875 56469.696212768555
5683.3076171875 56375.949310302734
5684.5576171875 56909.41279602051
5685.8076171875 57412.80888366699
5687.0576171875 57895.89643859863
5688.3076171875 57962.483627319336
5689.5576171875 58168.123962402344
5690.8076171875 58328.44367980957
5692.0576171875 57997.24871826172
5693.3076171875 58168.4464263916
5694.5576171875 57970.90264892578
5695.8076171875 56701.04545593262
5697.0576171875 56596.40425109863
5698.3076171875 55176.69560241699
5699.5576171875 54494.40614318848
5700.8076171875 55345.63249206543
5702.0576171875 56228.25881958008
5703.3076171875 56440.17839050293
5704.5576171875 56433.65510559082
5705.8076171875 57166.90104675293
5707.0576171875 57130.83882141113
5708.3076171875 57595.719177246094
5709.5576171875 57069.41600036621
5710.8076171875 57181.9373626709
5712.0576171875 58003.664291381836
5713.3076171875 58967.72491455078
5714.5576171875 59408.631591796875
5715.8076171875 59344.73080444336
5717.0576171875 59532.834411621094
5718.3076171875 59471.31788635254
5719.5576171875 58857.872497558594
5720.8076171875 58758.931869506836
5722.0576171875 57911.80911254883
5723.3076171875 57602.216079711914
5724.5576171875 57448.88903808594
5725.8076171875 58008.877700805664
5727.0576171875 57503.62178039551
5728.3076171875 56943.734375
5729.5576171875 57192.701416015625
5730.8076171875 58084.315505981445
5732.0576171875 58652.559967041016
5733.3076171875 59696.958740234375
5734.5576171875 59756.0856628418
5735.8076171875 59441.80406188965
5737.0576171875 59346.52766418457
5738.3076171875 59299.84454345703
5739.5576171875 58616.79377746582
5740.8076171875 57674.927673339844
5742.0576171875 57324.46026611328
5743.3076171875 56820.72164916992
5744.5576171875 57324.77572631836
5745.8076171875 57346.85577392578
5747.0576171875 56424.741439819336
5748.3076171875 55735.0583190918
5749.5576171875 54937.695709228516
5750.8076171875 54955.62446594238
5752.0576171875 54970.938552856445
5753.3076171875 55910.235763549805
5754.5576171875 57173.33938598633
5755.8076171875 58589.09686279297
5757.0576171875 59210.27185058594
5758.3076171875 59342.279220581055
5759.5576171875 59154.473892211914
5760.8076171875 59301.69728088379
5762.0576171875 60087.99897766113
5763.3076171875 60198.68374633789
5764.5576171875 60950.224548339844
5765.8076171875 60350.27247619629
5767.0576171875 59851.880935668945
5768.3076171875 59253.183670043945
5769.5576171875 59143.430252075195
5770.8076171875 59789.73387145996
5772.0576171875 59151.11129760742
5773.3076171875 58890.595458984375
5774.5576171875 58854.37593078613
5775.8076171875 59285.703048706055
5777.0576171875 59823.36114501953
5778.3076171875 59589.72431945801
5779.5576171875 58979.086181640625
5780.8076171875 57880.40605163574
5782.0576171875 58862.82969665527
5783.3076171875 59512.16915893555
5784.5576171875 59430.81430053711
5785.8076171875 59686.33596801758
5787.0576171875 60192.392501831055
5788.3076171875 60084.6575012207
5789.5576171875 59644.232498168945
5790.8076171875 59649.06922912598
5792.0576171875 60810.75274658203
5793.3076171875 60456.03633117676
5794.5576171875 59750.71759033203
5795.8076171875 59964.77835083008
5797.0576171875 60066.755432128906
5798.3076171875 60986.99362182617
5799.5576171875 61098.47409057617
5800.8076171875 60633.11340332031
