Title: Infrared Luminosities and Aromatic Features in the 24 micron 
       Flux Limited Sample of 5MUSES  
Authors: Wu Y., Helou G., Armus L., Cormier D., Shi Y., Dale D., Dasyra K., 
         Smith J.D., Papovich C., Draine B., Rahman N., Stierwalt S., Fadda D.,
         Lagache G., Wright E.L. 
Table: General Properties of the Sample
================================================================================
Byte-by-byte Description of file: apj368264t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---        ID      Source 5MUSES identification 
  12- 37 A26    ---        Name    Source 5MUSES name
  39- 40 I2     h          RAh     Hour of Right Ascension (J2000) 
  42- 43 I2     min        RAm     Minute of Right Ascension (J2000) 
  45- 48 F4.1   s          RAs     Second of Right Ascension (J2000) 
      50 A1     ---        DE-     Sign of the Declination (J2000)
  51- 52 I2     deg        DEd     Degree of Declination (J2000) 
  54- 55 I2     arcmin     DEm     Arcminute of Declination (J2000) 
  57- 60 F4.1   arcsec     DEs     Arcsecond of Declination (J2000) 
  62- 66 F5.3   ---        z       Redshift 
      68 I1     ---      f_z       Flag on z (1)  
  70- 73 F4.1   mJy        F24     Spitzer/MIPS 24 micron flux density  
      75 A1     ---      l_EW6.2   Limit flag on EW6.2
  76- 81 F6.3   um         EW6.2   ? Equivalent width of 6.2 micron PAH band
  83- 87 F5.3   um       e_EW6.2   ? Uncertainty in 6.2{mu}m EW 
  89- 93 F5.2   [solLum]   logLIR  Log of IR luminosity
  95- 98 F4.2   [solLum] e_logLIR  Uncertainty in logLIR
5MUSES-117 5MUSES_J104843.90+580341.2 10 48 43.9 +58 03 41.3 0.162 2  7.1   0.838 0.029 11.04 0.05 
5MUSES-118 5MUSES_J104907.15+565715.3 10 49 07.2 +56 57 15.4 0.072 1  9.7   0.805 0.014 10.65 0.03 
5MUSES-119 5MUSES_J104918.33+562512.9 10 49 18.3 +56 25 13.0 0.330 1  7.1   0.037 0.001 11.20 0.08 
5MUSES-123 5MUSES_J105005.97+561500.0 10 50 06.0 +56 15 00.0 0.119 2 14.8   0.714 0.097 11.14 0.04 
5MUSES-124 5MUSES_J105047.83+590348.3 10 50 47.8 +59 03 48.4 0.131 2  5.2   0.623 0.015 10.90 0.04 
5MUSES-126 5MUSES_J105058.76+560550.0 10 50 58.8 +56 05 50.0 0.125 2  5.5   0.496 0.054 10.41 0.05 
5MUSES-127 5MUSES_J105106.12+591625.3 10 51 06.1 +59 16 25.3 0.768 1  5.4   0.078 0.003 12.32 0.06 
5MUSES-128 5MUSES_J105128.05+573502.4 10 51 28.1 +57 35 02.4 0.073 1 10.0   0.695 0.081 10.42 0.03 
5MUSES-130 5MUSES_J105158.53+590652.0 10 51 58.5 +59 06 52.1 1.814 2  5.4 < 0.093       13.26 0.05 
5MUSES-131 5MUSES_J105200.29+591933.7 10 52 00.3 +59 19 33.8 0.115 1 11.4   0.297 0.036 10.76 0.03 
5MUSES-132 5MUSES_J105206.56+580947.1 10 52 06.6 +58 09 47.1 0.117 2 16.7   0.661 0.009 11.34 0.03 
5MUSES-133 5MUSES_J105336.87+580350.7 10 53 36.9 +58 03 50.7 0.460 1  5.9   0.368 0.001 12.02 0.04 
5MUSES-135 5MUSES_J105404.11+574019.7 10 54 04.1 +57 40 19.7 1.101 1  8.5 < 0.084       12.70 0.03 
5MUSES-136 5MUSES_J105421.65+582344.6 10 54 21.7 +58 23 44.7 0.205 2 16.8   0.074 0.001 11.43 0.03 
5MUSES-138 5MUSES_J105604.84+574229.9 10 56 04.8 +57 42 30.0 1.211 1 11.2 < 0.146       13.16 0.11 
5MUSES-139 5MUSES_J105636.95+573449.3 10 56 37.0 +57 34 49.4 0.047 1  6.4   0.444 0.060 10.16 0.04 
5MUSES-140 5MUSES_J105641.81+580046.0 10 56 41.8 +58 00 46.0 0.130 1  7.5   0.686 0.014 11.03 0.03 
5MUSES-141 5MUSES_J105705.43+580437.4 10 57 05.4 +58 04 37.4 0.140 2 16.5   0.097 0.001 11.18 0.03 
5MUSES-142 5MUSES_J105733.53+565737.4 10 57 33.5 +56 57 37.5 0.086 1  5.6   0.454 0.023 10.38 0.06 
5MUSES-143 5MUSES_J105740.55+570616.4 10 57 40.6 +57 06 16.5 0.073 1  6.1   0.503 0.058 10.24 0.03 
5MUSES-144 5MUSES_J105829.28+580439.2 10 58 29.3 +58 04 39.3 0.136 1  7.1   0.452 0.075 10.56 0.03 
5MUSES-145 5MUSES_J105854.08+574130.0 10 58 54.1 +57 41 30.0 0.232 1  6.1   0.222 0.031 11.10 0.07 
5MUSES-146 5MUSES_J105903.47+572155.1 10 59 03.5 +57 21 55.1 0.119 2 13.8 < 0.261       10.87 0.05 
5MUSES-147 5MUSES_J105951.71+581802.9 10 59 51.7 +58 18 02.9 2.335 1  5.3               13.08 0.17 
5MUSES-148 5MUSES_J105959.95+574848.1 11 00 00.0 +57 48 48.2 0.453 1  9.1 < 0.052       11.83 0.02 
5MUSES-149 5MUSES_J110002.06+573142.1 11 00 02.1 +57 31 42.2 0.387 2  8.3   0.496 0.027 12.02 0.05 
5MUSES-151 5MUSES_J110124.97+574315.8 11 01 25.0 +57 43 15.9 0.243 1  6.1   0.545 0.058 11.17 0.06 
5MUSES-152 5MUSES_J110133.80+575206.6 11 01 33.8 +57 52 06.6 0.277 2  6.4   0.509 0.057 11.84 0.04 
5MUSES-153 5MUSES_J110223.58+574436.2 11 02 23.6 +57 44 36.2 0.226 1 10.2 < 0.093       11.12 0.02 
5MUSES-154 5MUSES_J110235.02+574655.7 11 02 35.0 +57 46 55.7 0.226 2  6.2   0.523 0.066 11.48 0.04 
5MUSES-155 5MUSES_J155833.00+544426.9 15 58 32.9 +54 44 27.2 0.350 1  9.1   0.086 0.001 11.52 0.03 
5MUSES-156 5MUSES_J155833.28+545937.1 15 58 33.3 +54 59 37.2 0.340 2  6.3   0.327 0.012 12.10 0.03 
5MUSES-157 5MUSES_J155936.12+544203.7 15 59 36.1 +54 42 03.8 0.308 2 14.5 < 0.060       11.32 0.06 
5MUSES-158 5MUSES_J160038.82+551018.6 16 00 38.8 +55 10 18.7 0.144 2 20.1   0.637 0.020 11.45 0.04 
5MUSES-160 5MUSES_J160114.49+551304.1 16 01 14.5 +55 13 04.1 0.220 2  7.9 < 0.079       10.82 0.06 
5MUSES-162 5MUSES_J160128.52+544521.3 16 01 28.5 +54 45 21.4 0.728 1 12.8 < 0.034       12.47 0.01 
5MUSES-163 5MUSES_J160322.77+544237.3 16 03 22.8 +54 42 37.3 0.215 1  5.7   0.687 0.070 11.35 0.03 
5MUSES-165 5MUSES_J160341.30+552612.7 16 03 41.3 +55 26 12.7 0.146 1  5.3   0.610 0.012 11.11 0.03 
5MUSES-166 5MUSES_J160358.18+555504.4 16 03 58.2 +55 55 04.4 0.322 2  5.0   0.406 0.030 11.56 0.06 
